subj_id,Duration,A,B,C,D,E,F,notA,notB,notC,notD,notE,notF,BgA,BgnotA,CgB,CgnotB,DgB,DgnotB,EgB,EgnotB,FgA,FgnotA,check77,Gov_Subsidies,Energy_tax,Coal_Regulations,Solar_subsidy,Business_tax,Gas_tax,Gas_guzzler,Fuel_efficiency,Age,Gender,Race,Education_level,Political_Party,Political_Views,Past_Voting
0aae1d57548e8349e0fa9931f3b2c5fb,149,22,30,40,43,30,29,25,65,20,33,50,40,54,32,34,43,30,14,43,50,40,45,77,Definitely no,Probably no,Probably no,Definitely no,Probably no,Definitely no,Definitely no,Probably no,27,Female,White or Caucasian,Bachelor’s Degree,Democratic Party,Very Liberal,Joe Biden
c778e56ff855f76ac073da13ffbcedaa,176,45,57,98,67,78,67,45,76,56,78,78,89,65,76,34,99,87,34,33,45,78,45,87,Probably no,Definitely yes,Definitely no,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,28,Male,Black or African American,Master’s Degree,Democratic Party,Slightly Conservative,Joe Biden
28a1da016075f15b0236963ca1c35ff7,152,10,35,45,40,60,35,86,60,5,10,40,4,15,40,57,12,75,30,78,50,40,48,77,Probably no,Probably no,Probably no,Definitely yes,Probably yes,Definitely no,Definitely no,Definitely yes,21,Male,Asian,Some graduate education,Republican Party,Neither Liberal nor Conservative,Donald Trump
027bb7eec328910e9779c45806db4db2,221,0,1,1,1,1,0,100,50,99,90,75,100,1,1,1,1,1,1,1,1,0,0,77,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,41,Male,White or Caucasian,Some undergraduate education,Other,Neither Liberal nor Conservative,Third party candidate
e598602a24fada80dba125c061266a37,253,9,49,32,67,69,58,12,27,13,21,27,64,37,43,42,39,67,26,46,21,38,59,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably yes,Definitely yes,Probably yes,36,Female,White or Caucasian,Bachelor’s Degree,Democratic Party,Very Liberal,Joe Biden
c09508e56fddd3d812ce9cb8bfd0c845,269,1,60,66,60,60,50,25,33,1,30,1,50,15,50,60,25,80,20,66,20,55,66,77,Probably yes,Probably yes,Probably no,Probably no,Probably no,Probably no,Probably yes,Probably no,35,Male,White or Caucasian,Some undergraduate education,Democratic Party,Very Liberal,Joe Biden
aaad304b5888684d4c24bccf00236fd3,267,10,65,20,25,25,5,90,20,20,20,40,5,2,50,20,10,15,20,60,10,5,90,77,Definitely no,Probably no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,38,Female,White or Caucasian,Bachelor’s Degree,Republican Party,Neither Liberal nor Conservative,Donald Trump
308b55b7719f6a69cfb3b927c0c0d678,286,20,100,100,100,100,100,80,0,0,0,0,0,75,100,90,100,100,80,100,100,50,100,75,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,38,Male,Asian,Master’s Degree,Democratic Party,Very Liberal,Joe Biden
c7f901f7567e95fe9cc7f866439eeb8b,304,50,80,100,80,70,80,10,10,10,20,10,20,50,80,40,100,100,40,100,50,20,50,77,Definitely yes,Probably yes,Definitely no,Probably yes,Probably no,Definitely no,Definitely no,Definitely no,49,Female,White or Caucasian,Bachelor’s Degree,Independent,Neither Liberal nor Conservative,Joe Biden
4e2e7d0953ed9faabf82f5b47a206d7b,273,3,97,72,99,98,98,99,1,12,2,1,8,89,98,97,67,99,80,99,89,76,79,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,31,Non-binary,White or Caucasian,Bachelor’s Degree,Other,Very Liberal,Joe Biden
c83d012c630fe1a7922be13348f24d95,276,0,90,3,60,70,10,90,20,60,1,13,60,10,60,40,70,70,50,90,20,5,30,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably no,Definitely yes,Definitely yes,29,Male,White or Caucasian,Bachelor’s Degree,Democratic Party,Slightly Liberal,Did not vote
d420d9dab4a48c8910a5221782738d02,315,0,100,80,100,80,80,100,20,50,10,10,60,30,100,100,10,100,50,100,50,10,85,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably yes,Definitely yes,Definitely yes,63,Male,White or Caucasian,Some graduate education,Democratic Party,Slightly Liberal,Joe Biden
a0d6bc88b356cb695af0efdfccb6af85,335,15,60,35,70,50,50,80,15,60,20,25,70,25,75,40,25,80,25,50,30,10,80,77,Probably yes,Definitely yes,Definitely yes,Definitely yes,Probably yes,Definitely no,Probably yes,Definitely yes,22,Male,White or Caucasian,Some undergraduate education,Democratic Party,Very Liberal,Did not vote
08e3b47160dd54baf7ea77cb3324422e,331,55,4,5,2,5,5,45,45,80,80,80,88,3,5,15,3,15,12,12,3,3,11,77,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,40,Male,White or Caucasian,Bachelor’s Degree,Republican Party,Slightly Conservative,Donald Trump
4d45650c0439e39b3b3a08f112187d6d,340,40,40,50,30,30,30,20,20,50,50,30,50,10,30,30,50,30,30,50,25,50,10,77,Definitely yes,Probably yes,Probably yes,Probably yes,Definitely yes,Probably yes,Definitely yes,Definitely yes,39,Female,Asian,Master’s Degree,Democratic Party,Slightly Liberal,Joe Biden
79bc95c6685706cd7129cbff04dd30a8,349,5,60,50,60,75,50,95,40,30,25,25,25,15,70,25,25,70,50,60,50,25,70,77,Definitely yes,Probably yes,Definitely yes,Probably yes,Probably yes,Definitely no,Definitely no,Probably no,58,Female,White or Caucasian,Bachelor’s Degree,Democratic Party,Very Liberal,Joe Biden
4ab86d0e1681339c904b278442364d63,276,0,90,75,90,100,10,100,5,50,10,0,90,5,100,75,50,90,50,100,100,2,10,77,Probably no,Definitely no,Definitely no,Probably no,Definitely no,Definitely no,Definitely no,Probably yes,31,Female,Multiracial or Biracial,Bachelor’s Degree,Independent,Neither Liberal nor Conservative,Joe Biden
97454b7a57606d874962f10bdb3c1950,226,15,43,40,50,43,30,25,25,35,45,35,25,40,25,52,20,24,40,35,49,25,45,77,Probably yes,Probably yes,Probably yes,Probably no,Probably yes,Probably yes,Definitely no,Probably yes,27,Male,White or Caucasian,Master’s Degree,Republican Party,Very Conservative,Donald Trump
