subj_id,Duration,condition,A,B,C,D,E,F,notA,notB,notC,notD,notE,notF,BgA,BgnotA,CgB,CgnotB,DgB,DgnotB,EgB,EgnotB,FgA,FgnotA,check77,Gov_Subsidies,Energy_tax,Coal_Regulations,Solar_subsidy,Business_tax,Gas_tax,Gas_guzzler,Fuel_efficiency,quiz1,quiz2,quiz3,quiz4,quiz5,self_understanding
027bb7eec328910e9779c45806db4db2,196,control,0,1,1,1,1,1,100,75,99,99,75,99,1,1,1,1,1,1,1,1,1,1,77,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,Definitely no,infrared; visible,"Carbon dioxide,Methane",reflect visible light energy back toward earth,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Very well
4b4a80821105a306fc720775c933c163,472,control,50,85,65,65,50,80,85,50,50,51,50,85,50,65,50,65,50,50,50,85,50,85,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,infrared; ultraviolet,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,TRUE,makes the atmosphere more dense and thereby provides more insulation and heat retention,Moderately well
c86362cca6a49c5f54d8c9820ccacd93,371,control,40,10,15,12,45,11,12,15,80,56,65,75,90,48,10,50,12,45,50,15,10,12,77,Probably yes,Probably no,Probably yes,Probably yes,Probably yes,Probably no,Probably yes,Probably no,visible; infrared,"Carbon dioxide,Oxygen,Methane",allow visible light to pass through but absorb infrared light,FALSE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Extremely well
8a4c545f5507df79bd22f0561b51c223,264,control,10,90,90,90,70,40,90,20,30,20,20,10,40,50,70,40,80,20,70,20,50,20,77,Probably yes,Definitely yes,Probably yes,Probably yes,Probably yes,Definitely yes,Probably yes,Definitely yes,infrared; ultraviolet,Methane,allow visible light to pass through but absorb infrared light,FALSE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Very well
ca28e627e74e3abd8a61c612a71a4852,713,intervention,10,50,25,80,50,20,50,75,50,25,15,95,25,90,65,10,75,25,90,30,5,20,77,Definitely yes,Definitely no,Definitely no,Definitely no,Definitely no,Definitely yes,Definitely yes,Definitely yes,visible; infrared,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,FALSE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Extremely well
728cbb3f80b95376cead4dc7626e142e,508,intervention,5,70,65,80,85,65,95,25,15,25,10,15,5,95,80,15,70,10,85,20,5,85,77,Probably yes,Probably yes,Definitely no,Probably no,Definitely no,Probably no,Probably yes,Definitely yes,visible; infrared,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Moderately well
098a2db0335497eb4621c57d81713dc4,876,intervention,20,60,60,79,80,40,80,20,20,2,2,10,30,40,50,40,70,60,80,50,20,40,77,Probably yes,Probably yes,Probably no,Probably yes,Probably no,Definitely no,Definitely no,Probably no,visible; infrared,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Moderately well
8a111e5c04b0ba32913848a3c3bb8839,1008,intervention,22,41,15,21,12,17,8,67,17,13,32,21,18,23,47,12,26,17,23,31,32,15,77,Definitely yes,Definitely yes,Probably yes,Definitely yes,Probably yes,Probably no,Definitely yes,Probably yes,visible; infrared,Oxygen,allow infrared light to pass through but reflect visible light,TRUE,allows more ultraviolet and gamma radiation from the sun to reach Earth's surface and cause global warming,Extremely well
40649e913f3b413ba601928e0019156e,952,intervention,5,50,30,50,50,40,95,50,65,50,50,60,30,60,50,50,50,50,75,50,30,40,77,Probably no,Probably no,Probably no,Probably yes,Probably no,Definitely no,Probably yes,Probably yes,visible; infrared,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Moderately well
80c9b0a8742d66cbd400b0dafff494e7,970,intervention,10,10,20,10,10,20,50,90,80,90,90,80,10,10,20,20,10,10,25,10,10,20,77,Probably yes,Definitely no,Definitely no,Probably no,Definitely no,Definitely no,Probably yes,Definitely no,visible; infrared,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,FALSE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Moderately well
df1f31033052ab220317d446cdc759df,786,control,1,85,50,80,85,10,90,15,50,25,2,50,15,50,5,5,90,25,85,45,15,75,77,Definitely yes,Definitely yes,Probably yes,Definitely yes,Probably yes,Probably yes,Definitely no,Definitely no,ultraviolet; visible,"Carbon dioxide,Methane,Nitrogen",allow visible light to pass through but absorb infrared light,FALSE,allows more ultraviolet and gamma radiation from the sun to reach Earth's surface and cause global warming,Not well at all
c92a5f733f937d8484f665d312977a06,739,intervention,20,40,20,30,25,30,20,20,60,10,10,10,10,75,60,10,65,30,65,20,60,60,77,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Probably yes,Probably yes,Definitely yes,Definitely yes,infrared; ultraviolet,"Carbon dioxide,Oxygen",allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Not well at all
b683900aea03e2ab7bec0798067370a7,439,intervention,5,50,25,50,50,25,100,50,60,50,50,75,50,25,80,10,75,20,80,25,15,50,77,Definitely yes,Probably no,Probably no,Probably yes,Probably no,Definitely no,Probably yes,Definitely no,visible; infrared,"Carbon dioxide,Methane,Nitrogen",allow visible light to pass through but absorb infrared light,TRUE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Moderately well
6bd8cddf0570ac616b26a773919959f2,386,control,5,40,20,30,30,20,60,50,70,60,70,70,5,60,30,10,35,15,35,15,5,35,77,Definitely yes,Definitely no,Probably yes,Probably yes,Definitely no,Definitely no,Definitely yes,Definitely yes,visible; infrared,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,FALSE,makes the atmosphere more dense and thereby provides more insulation and heat retention,Moderately well
9add520af769b2e7f1d3ddaa8c79fb20,520,intervention,5,80,90,90,90,90,80,10,10,10,10,10,20,90,90,20,90,20,90,10,15,90,77,Definitely yes,Probably yes,Probably yes,Probably yes,Definitely yes,Probably yes,Definitely yes,Definitely yes,infrared; ultraviolet,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,FALSE,"absorbs infrared light energy, slowing its emission into space and warming the earth",Moderately well
7a7a84906a4f3ccfcc6645c1ab8218c1,393,control,25,80,70,80,80,50,80,20,35,20,25,40,60,85,80,35,90,35,90,70,25,75,77,Definitely yes,Probably yes,Probably yes,Definitely yes,Probably yes,Probably yes,Definitely yes,Definitely yes,infrared; ultraviolet,"Carbon dioxide,Methane",allow visible light to pass through but absorb infrared light,FALSE,makes the atmosphere more dense and thereby provides more insulation and heat retention,Moderately well
